,Date,Name,Description,Topic 1,Topic 2,Topic 3,URL,Upvotes,Pricing,Reviews,Product Rating,Comments,Day Rank,Week Rank
0,2024-01-11,Feather,Notion to Blog in minutes,Marketing,SEO,Notion,,0,Free Options,2,5/5 ★,324,#1,#4
0,2024-01-11,pre.dev,Instant software planning and lightspeed development,Software Engineering,Developer Tools,Artificial Intelligence,,661,Free Options,6,4.5/5 ★,150,#2,#12
0,2024-01-11,hoopsAI,"Real-Time, Personalized AI Insights for trading",Fintech,Investing,Artificial Intelligence,,416,Free,2,5/5 ★,100,#3,#13
0,2024-01-11,Prompt Whisperer,Simplifying your path to AI interaction,Productivity,Artificial Intelligence,Tech,,526,Free Options,0,,253,#4,#15
0,2024-01-11,Olly,"In-browser AI comments, posts, viral scores in seconds",Chrome Extensions,Productivity,Artificial Intelligence,,469,Free Options,1,5/5 ★,372,#5,#20
0,2024-01-11,Textla,"Business texting, simplified",Customer Communication,Marketing,SaaS,,290,Free Options,2,5/5 ★,81,#6,#28
0,2024-01-11,GPT Store,Help you find useful and popular custom versions of ChatGPT,Artificial Intelligence,Bots,,,441,Payment Required,3,5/5 ★,51,#7,#25
0,2024-01-11,HEY Calendar,Bringing magic to calendaring,Productivity,Calendar,,,400,Payment Required,0,,43,#8,#30
0,2024-01-11,GPT Auth,Authentication for GPTs on GPT store,Artificial Intelligence,,,,333,Payment Required,0,,192,#9,#33
0,2024-01-11,Robomotion Video Dubber,Multilingual video dubbing app for globalizing your content,Productivity,Artificial Intelligence,Tech,,280,Free,44,5/5 ★,90,#10,#39
0,2024-01-11,LittleStory.io,"AI bedtime stories: inspire growth, teach values or lessons.",Parenting,Artificial Intelligence,Kids & Parenting,,224,Free Options,0,,63,#11,#48
0,2024-01-11,GoSearch,Enterprise search with instant answers powered by genAI 🔎,Artificial Intelligence,Tech,Search,,207,Free Options,9,5/5 ★,32,#12,#51
0,2024-01-11,Beagle Security for Enterprises,Boost enterprise app security with automated AI pentesting,SaaS,Developer Tools,Security,,197,Free Options,22,5/5 ★,71,#13,#53
0,2024-01-11,FlowFinitee,Master work-life harmony for infinite productivity,Productivity,Developer Tools,Artificial Intelligence,,158,Free Options,1,5/5 ★,88,#14,#59
0,2024-01-11,Prime Indies,Discover top-tier indie products and how much MRR they make,Design Tools,Developer Tools,Maker Tools,,147,Free,0,,62,#15,#64
0,2024-01-11,ChartMogul Benchmarks,Compare your performance to the rest of the SaaS industry,Analytics,SaaS,Data & Analytics,,117,Free,38,4.5/5 ★,26,#16,#78
0,2024-01-11,Draw AI,Draw with AI amazing details with just a few strokes,Android,Art,Artificial Intelligence,,103,Free,0,,22,#17,#79
0,2024-01-12,Presence,Connect with your community and culture in new places,Android,Social Network,Global Nomad,,0,Free,17,5/5 ★,429,#1,#1
0,2024-01-12,Cargo for Sheets,Experiment lead generation initiatives in Google Sheets,Sales,Email Marketing,Artificial Intelligence,,0,Free,69,5/5 ★,530,#2,#2
0,2024-01-12,Codebay.ai,Learn Python easily with your personalized AI tutor,Productivity,Artificial Intelligence,Tech,,432,Free Options,6,5/5 ★,143,#3,#22
0,2024-01-12,AI Ad Text Generator,Create ad texts in seconds with AI,Marketing,Advertising,Artificial Intelligence,,403,Free,1,5/5 ★,127,#4,#27
0,2024-01-12,Shadcn UI Component Explorer,"View, interact & search 100s of Shadcn UI components",Web App,Developer Tools,Development,,358,Free,4,5/5 ★,86,#5,#35
